MAP,Model,P10
0.0571,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(10.000000)Standard},0.1
0.0595,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(89.000000)Standard},0.1
0.0594,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(90.000000)Standard},0.1
0.0596,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(100.000000)Standard},0.1
0.0586,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(60.000000)Standard},0.0968
0.0593,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(70.000000)Standard},0.0968
0.0592,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(120.000000)Standard},0.0968
0.0572,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(200.000000)Standard},0.0935
0.0576,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(150.000000)Standard},0.0935
0.0594,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(130.000000)Standard},0.0935
0.0589,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(50.000000)Standard},0.0935
0.0573,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(177.000000)Standard},0.0935
0.045,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(2000.000000)Standard},0.0742
0.0425,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(4000.000000)Standard},0.071
0.0436,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(2500.000000)Standard},0.071
0.0425,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(3500.000000)Standard},0.071
0.0431,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(3000.000000)Standard},0.0677
0.0422,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(4500.000000)Standard},0.0677
0.0398,{org.apache.lucene.analysis.standard.StandardAnalyzer@7cca494bLM Dirichlet(5000.000000)Standard},0.0677
