MAP,Model,P10
0.0738,"{StandardBM25(k1=2.0,b=0.5)}",0.1065
0.073,"{StandardBM25(k1=1.5,b=0.5)}",0.1032
0.0727,"{StandardBM25(k1=1.25,b=0.75)}",0.1065
0.0724,"{StandardBM25(k1=1.25,b=1.0)}",0.1194
0.0722,"{StandardBM25(k1=1.5,b=0.75)}",0.1097
0.0717,"{StandardBM25(k1=1.5,b=1.0)}",0.1194
0.0716,"{StandardBM25(k1=1.0,b=0.75)}",0.1
0.0713,"{StandardBM25(k1=1.25,b=0.5)}",0.1
0.071,"{StandardBM25(k1=2.0,b=0.75)}",0.1129
0.0701,"{StandardBM25(k1=2.0,b=1.0)}",0.1194
0.0696,"{StandardBM25(k1=1.0,b=1.0)}",0.1129
0.0679,"{StandardBM25(k1=1.0,b=0.5)}",0.1032
0.0659,"{StandardBM25(k1=0.5,b=0.75)}",0.0968
0.0619,"{StandardBM25(k1=0.5,b=1.0)}",0.1065
0.0604,"{StandardBM25(k1=0.5,b=0.5)}",0.0871
0.0587,"{StandardBM25(k1=2.0,b=0.25)}",0.0806
0.0586,"{StandardBM25(k1=1.5,b=0.25)}",0.0806
0.055,"{StandardBM25(k1=1.25,b=0.25)}",0.0774
0.0546,"{StandardBM25(k1=1.0,b=0.25)}",0.0839
0.0544,"{StandardBM25(k1=0.5,b=0.25)}",0.0871
0.0364,"{StandardBM25(k1=0.5,b=0.0)}",0.0516
0.0359,"{StandardBM25(k1=1.0,b=0.0)}",0.0516
0.0356,"{StandardBM25(k1=1.25,b=0.0)}",0.0516
0.0352,"{StandardBM25(k1=1.5,b=0.0)}",0.0516
0.0339,"{StandardBM25(k1=2.0,b=0.0)}",0.0516
0.0307,"{StandardBM25(k1=0.0,b=0.75)}",0.0548
0.0307,"{StandardBM25(k1=0.0,b=0.25)}",0.0548
0.0307,"{StandardBM25(k1=0.0,b=0.5)}",0.0548
0.0307,"{StandardBM25(k1=0.0,b=1.0)}",0.0548
